Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
philosophers-p28-phil29,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p29-phil30,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p30-phil31,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p31-phil32,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p32-phil33,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p33-phil34,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p34-phil35,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p35-phil36,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p36-phil37,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p37-phil38,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p38-phil39,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p39-phil40,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p40-phil41,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p41-phil42,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p42-phil43,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p43-phil44,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p44-phil45,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p45-phil46,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p46-phil47,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p47-phil48,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
philosophers-p48-phil49,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
pipesworld-notankage-p01-net1-b6-g2,0,True,22,38,119,192,87,237,165,0,0,,,,0,,,5.0,1e+20,5,0.0066,0.0003,0.0,0.0016,0.0,0.0,,0.0092,0.0177
pipesworld-notankage-p02-net1-b6-g4,0,True,19,38,130,205,95,258,173,0,0,,,,0,,,7.0,1e+20,7,0.009,0.0003,0.0,0.0098,0.0,0.0,,0.01,0.0293
pipesworld-notankage-p03-net1-b8-g3,0,True,34,59,202,314,157,410,294,0,0,,,,0,,,7.0,1e+20,7,0.0063,0.0007,0.0,0.0026,0.0,0.0,,0.0125,0.0222
pipesworld-notankage-p04-net1-b8-g5,0,True,32,59,202,314,165,410,305,0,0,,,,0,,,7.0,1e+20,7,0.0066,0.0007,0.0,0.0023,0.0,0.0,,0.0128,0.0225
pipesworld-notankage-p05-net1-b10-g4,0,True,45,98,341,504,304,675,714,0,0,,,,0,,,7.0,1e+20,7,0.0122,0.0012,0.0,0.0057,0.0,0.0,,0.0232,0.0423
pipesworld-notankage-p06-net1-b10-g6,0,True,41,98,343,507,307,679,714,0,0,,,,0,,,9.0,1e+20,9,0.0284,0.0012,0.0,0.0028,0.0,0.0,,0.023,0.0554
pipesworld-notankage-p07-net1-b12-g5,0,True,54,148,467,693,551,944,1559,0,0,,,,0,,,8.0,1e+20,8,0.0102,0.0019,0.0,0.0029,0.0,0.0,,0.0458,0.0608
pipesworld-notankage-p08-net1-b12-g7,0,True,48,148,480,708,573,971,1603,0,0,,,,0,,,10.0,1e+20,10,0.0082,0.0019,0.0,0.0025,0.0,0.0,,0.0556,0.0684
pipesworld-notankage-p09-net1-b14-g6,0,True,55,198,660,950,713,1314,1945,0,0,,,,0,,,13.0,1e+20,13,0.0132,0.0027,0.0,0.0073,0.0,0.0,,0.094,0.1174
pipesworld-notankage-p10-net1-b14-g8,0,True,46,198,681,973,757,1355,2047,0,0,,,,0,,,17.0,1e+20,17,0.0093,0.0027,0.0,0.0033,0.0,0.0,,0.181,0.1964
pipesworld-notankage-p11-net2-b10-g2,0,True,156,738,1572,2479,4090,3315,49511,0,0,,,,0,,,11.0,1e+20,11,0.0193,0.006,0.0,0.0288,0.0,0.0,,2.7229,2.777
pipesworld-notankage-p12-net2-b10-g4,0,True,152,738,1572,2479,4090,3315,49511,0,0,,,,0,,,13.0,1e+20,13,0.0106,0.0061,0.0,0.027,0.0,0.0,,4.9421,4.9858
