Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
tetris-opt14-strips-p04-10,0,False,1880,18314,19473,39688,0,41819,37,0,0,0,0,0,0,28.0,28.0,28,28,28,0.5551,1.5498,0.0515,0.1074,0.0,0.0,0.1139,0.2523,2.6338
tetris-opt14-strips-p05-8,0,False,1407,16857,18347,36628,0,38971,21,0,0,0,0,0,0,20.5,20.5,22,22,22,0.4634,1.1052,0.0484,0.0787,0.0,0.0,0.1242,0.376,2.2022
tetris-sat14-strips-p020,0,False,844,6801,7353,15012,0,15539,21,0,0,0,0,0,0,17.5,17.5,19,19,19,0.1192,0.2429,0.0078,0.021,0.0,0.0,0.057,0.1744,0.6254
tetris-sat14-strips-p023,0,False,1579,15306,16107,33013,0,34429,28,0,0,0,0,0,0,26.5,26.5,28,28,28,0.4419,1.0861,0.0351,0.0759,0.0,0.0,0.118,0.4797,2.2433
tetris-sat14-strips-p025,0,False,1028,8439,8785,18269,0,18918,24,0,0,0,0,0,0,22.0,22.0,22,22,22,0.1837,0.3731,0.0164,0.0306,0.0,0.0,0.0464,0.1067,0.7589
tetris-sat14-strips-p022,0,False,1420,14823,15656,31917,0,33026,21,0,0,1,0,1,0,21.0,21.0,24,24,24,0.4031,0.9068,0.0284,0.0669,0.0168,0.0,0.1652,0.474,2.0486
tetris-opt14-strips-p05-6,0,False,326,3165,3568,7068,0,7359,13,1,0,2,0,2,0,10.5,10.5,12,12,12,0.0399,0.0508,0.0028,0.0069,0.0161,0.0,0.0583,0.1035,0.2642
tetris-sat14-strips-p027,0,False,2917,34796,36717,74455,0,78591,32,0,0,0,0,0,0,30.0,30.0,33,33,33,1.711,5.099,0.16,0.2824,0.0,0.0,0.2758,1.0246,8.564
tetris-sat14-strips-p024,0,False,1812,21049,22142,45024,0,46965,28,0,0,0,0,0,0,26.5,26.5,28,28,28,0.7297,1.7308,0.0541,0.1145,0.0,0.0,0.1728,0.694,3.5035
tetris-sat14-strips-p021,0,False,2289,22653,23902,48869,0,51151,41,0,0,0,0,0,0,33.5,33.5,35,35,35,0.8228,2.5258,0.0834,0.1534,0.0,0.0,0.1663,0.7401,4.4988
tetris-sat14-strips-p026,0,False,3308,40991,43497,87822,0,92715,34,0,0,0,0,0,0,34.0,34.0,37,37,37,2.2408,7.1411,0.2103,0.3567,0.0,0.0,0.3548,1.2082,11.5202
tetris-sat14-strips-p036,0,False,3256,40807,42419,86503,0,89442,25,0,0,0,0,0,0,27.5,27.5,29,29,29,2.161,6.2685,0.1224,0.3466,0.0,0.0,0.307,1.0973,10.3108
tetris-sat14-strips-p029,0,False,1188,8970,9420,19599,0,20506,27,0,0,0,0,0,0,25.0,25.0,25,25,25,0.2213,0.5034,0.0195,0.0372,0.0,0.0,0.0507,0.1145,0.949
tetris-sat14-strips-p037,0,False,1773,11994,12255,26048,0,27154,47,0,0,0,0,0,0,34.0,34.0,34,34,34,0.3562,0.9581,0.0381,0.065,0.0,0.0,0.077,0.1415,1.6383
tetris-sat14-strips-p028,0,False,2524,28402,29967,60917,0,64015,36,0,0,0,0,0,0,33.0,33.0,33,33,33,1.2083,3.5217,0.1021,0.2035,0.0,0.0,0.1866,0.4045,5.6314
tetris-sat14-strips-p039,0,False,4095,49442,51588,105154,0,110435,43,0,0,0,0,0,0,39.5,39.5,41,41,41,3.2388,11.1684,0.305,0.5391,0.0,0.0,0.37,2.0438,17.676
tetris-sat14-strips-p032,0,False,1678,17509,18649,37853,0,39143,22,0,0,0,0,0,0,20.5,20.5,22,22,22,0.5605,1.3791,0.0488,0.0876,0.0,0.0,0.1165,0.357,2.5563
tetris-sat14-strips-p033,0,False,3819,42667,44871,91385,0,95996,38,0,0,0,0,0,0,35.0,35.0,38,38,38,2.4936,9.2256,0.3396,0.4239,0.0,0.0,0.4098,1.1998,14.1031
tetris-sat14-strips-p038,0,False,2980,33929,35472,72405,0,75435,38,0,0,0,0,0,0,31.5,31.5,33,33,33,1.6629,4.8358,0.1461,0.2796,0.0,0.0,0.2427,0.7435,7.9197
