Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
gripper-prob13,0,True,56,112,169,395,84,366,112,0,0,,,,0,,,57.0,57,57,0.0257,0.0012,0.0007,0.005,0.0,0.0,,0.0052,0.0378
gripper-prob14,0,True,60,120,181,423,90,392,120,0,0,,,,0,,,61.0,61,61,0.0086,0.0013,0.0008,0.0029,0.0,0.0,,0.0033,0.017
gripper-prob15,0,True,64,128,193,451,96,418,128,0,0,,,,0,,,65.0,65,65,0.0083,0.0015,0.0009,0.0031,0.0,0.0,,0.0042,0.018
gripper-prob16,0,True,68,136,205,479,102,444,136,0,0,,,,0,,,69.0,69,69,0.009,0.0017,0.0012,0.0044,0.0,0.0,,0.004,0.0203
gripper-prob17,0,True,72,144,217,507,108,470,144,0,0,,,,0,,,73.0,73,73,0.0063,0.0018,0.0013,0.0022,0.0,0.0,,0.0035,0.0151
gripper-prob18,0,True,76,152,229,535,114,496,152,0,0,,,,0,,,77.0,77,77,0.0279,0.002,0.0014,0.0025,0.0,0.0,,0.0042,0.0382
gripper-prob19,0,True,80,160,241,563,120,522,160,0,0,,,,0,,,81.0,81,81,0.0257,0.0022,0.0016,0.0556,0.0,0.0,,0.0042,0.0894
gripper-prob20,0,True,84,168,253,591,126,548,168,0,0,,,,0,,,85.0,85,85,0.0077,0.0024,0.0019,0.0024,0.0,0.0,,0.004,0.0185
hiking-agl14-strips-testing-3-4-3,0,True,17,381,1497,1913,151,1671,704,0,0,,,,0,,,9.0,10,9,0.0197,0.0096,0.0009,0.0032,0.0,0.0,,0.1864,0.2201
hiking-agl14-strips-testing-3-4-4,0,True,24,570,2244,2865,256,2517,1147,0,0,,,,0,,,13.0,15,13,0.4701,0.031,0.0026,0.3694,0.0,0.0,,0.4363,1.3097
hiking-agl14-strips-testing-3-4-5,0,True,31,759,2991,3817,333,3363,1480,0,0,,,,0,,,17.0,20,17,0.048,0.0782,0.0049,0.004,0.0,0.0,,0.1372,0.2732
hiking-agl14-strips-testing-3-4-6,0,True,38,948,3738,4769,452,4219,3148,0,0,,,,0,,,21.0,25,21,0.0726,0.1359,0.0052,0.0054,0.0,0.0,,0.225,0.4455
hiking-agl14-strips-testing-3-4-7,0,True,45,1137,4485,5721,509,5055,2294,0,0,,,,0,,,25.0,30,25,0.1006,0.2892,0.0131,0.0059,0.0,0.0,,0.269,0.6798
hiking-agl14-strips-testing-3-4-8,0,True,52,1326,5232,6673,617,5901,2731,0,0,,,,0,,,29.0,35,29,0.1739,0.494,0.0192,0.0078,0.0,0.0,,0.3223,1.0198
hiking-agl14-strips-testing-3-4-9,0,True,59,1515,5979,7625,920,6763,5832,0,0,,,,0,,,33.0,40,33,0.2527,0.6785,0.0178,0.0357,0.0,0.0,,0.381,1.3691
hiking-agl14-strips-testing-4-5-3,0,True,22,1156,4580,5782,272,4862,2676,0,0,,,,0,,,11.0,12,11,0.0409,0.0463,0.0039,0.007,0.0,0.0,,0.2277,0.3266
hiking-agl14-strips-testing-4-5-4,0,True,31,1732,6868,8667,413,7301,2407,0,0,,,,0,,,16.0,18,16,0.0761,0.1866,0.0138,0.0066,0.0,0.0,,0.353,0.6377
hiking-agl14-strips-testing-4-5-5,0,True,40,2308,9156,11552,553,9744,3235,0,0,,,,0,,,21.0,24,21,0.1275,0.4951,0.0294,0.0101,0.0,0.0,,0.493,1.1578
hiking-agl14-strips-testing-4-5-6,0,True,49,2884,11444,14437,719,12197,6921,0,0,,,,0,,,26.0,30,26,0.2324,0.8739,0.0333,0.0129,0.0,0.0,,0.7707,1.9276
hiking-agl14-strips-testing-4-5-7,0,True,58,3460,13732,17322,886,14642,8363,0,0,,,,0,,,31.0,36,31,0.305,1.6744,0.0537,0.0159,0.0,0.0,,1.008,3.0638
hiking-agl14-strips-testing-4-5-8,0,True,67,4036,16020,20207,1045,17073,6018,0,0,,,,0,,,36.0,42,36,0.397,3.6918,0.1234,0.0242,0.0,0.0,,1.1066,5.358
hiking-agl14-strips-testing-4-5-9,0,True,76,4612,18308,23092,1286,19516,7267,0,0,,,,0,,,41.0,48,41,0.495,6.076,0.1854,0.0192,0.0,0.0,,1.3849,8.1826
hiking-agl14-strips-testing-5-6-3,0,True,27,2755,10955,13767,422,11365,5048,0,0,,,,0,,,13.0,14,13,0.0919,0.199,0.0191,0.0123,0.0,0.0,,0.5314,0.8554
hiking-agl14-strips-testing-5-6-4,0,True,38,4130,16430,20643,637,17065,7734,0,0,,,,0,,,19.0,21,19,0.2933,0.7205,0.053,0.0323,0.0,0.0,,0.9102,2.0134
hiking-agl14-strips-testing-5-6-5,0,True,49,5505,21905,27519,828,22757,6011,0,0,,,,0,,,25.0,28,25,0.3073,2.4375,0.1228,0.0235,0.0,0.0,,1.2633,4.1618
hiking-agl14-strips-testing-5-6-6,0,True,60,6880,27380,34395,1146,28475,18386,0,0,,,,0,,,31.0,35,31,0.4387,3.9356,0.1307,0.0294,0.0,0.0,,1.9715,6.5173
hiking-agl14-strips-testing-5-6-7,0,True,71,8255,32855,41271,1660,34189,29648,0,0,,,,0,,,37.0,42,37,0.6732,8.3113,0.1296,0.0429,0.0,0.0,,2.5678,11.7407
hiking-agl14-strips-testing-5-6-8,0,True,82,9630,38330,48147,1481,39851,10587,0,0,,,,0,,,43.0,49,43,1.0077,18.9515,0.4974,0.0449,0.0,0.0,,2.7695,23.2915
hiking-opt14-strips-ptesting-1-2-3,0,True,4,9,35,59,27,73,41,0,0,,,,0,,,5.0,6,5,0.1595,0.0001,0.0,0.0025,0.0,0.0,,0.0045,0.1667
hiking-opt14-strips-ptesting-1-2-4,0,True,6,7,34,63,36,89,39,0,0,,,,0,,,7.0,7,7,0.2027,0.0003,0.0,0.003,0.0,0.0,,0.0051,0.2113
hiking-opt14-strips-ptesting-1-2-5,0,True,8,17,69,115,64,153,96,0,0,,,,0,,,9.0,9,9,0.0073,0.0005,0.0,0.0024,0.0,0.0,,0.006,0.0163
hiking-opt14-strips-ptesting-1-2-7,0,True,12,13,67,123,81,185,102,0,0,,,,0,,,13.0,13,13,0.0071,0.0014,0.0001,0.0017,0.0,0.0,,0.0067,0.017
hiking-opt14-strips-ptesting-1-2-8,0,True,14,15,78,143,97,217,126,0,0,,,,0,,,15.0,15,15,0.0206,0.002,0.0001,0.0015,0.0,0.0,,0.0074,0.0316
hiking-opt14-strips-ptesting-2-2-3,0,True,10,58,218,298,72,306,110,0,0,,,,0,,,7.0,8,7,0.0609,0.001,0.0001,0.0165,0.0,0.0,,0.0453,0.1239
hiking-opt14-strips-ptesting-2-2-4,0,True,14,86,326,444,109,466,194,0,0,,,,0,,,10.0,12,10,0.0154,0.0026,0.0002,0.0022,0.0,0.0,,0.0432,0.0638
hiking-opt14-strips-ptesting-2-2-5,0,True,18,114,434,590,155,626,273,0,0,,,,0,,,13.0,16,13,3.8635,0.0056,0.0004,0.0028,0.0,0.0,,0.0149,3.8874
hiking-opt14-strips-ptesting-2-2-6,0,True,22,202,722,976,229,976,794,0,0,,,,0,,,16.0,20,16,0.0265,0.0089,0.0005,0.0047,0.0,0.0,,0.0279,0.0688
hiking-opt14-strips-ptesting-2-2-7,0,True,26,170,650,882,241,946,357,0,0,,,,0,,,19.0,24,19,0.6952,0.0185,0.0009,0.0575,0.0,0.0,,0.1004,0.8729
hiking-opt14-strips-ptesting-2-2-8,0,True,30,282,1010,1364,334,1372,1152,0,0,,,,0,,,22.0,28,22,0.6154,0.0237,0.001,0.1554,0.0,0.0,,0.1429,0.9386
hiking-opt14-strips-ptesting-2-3-4,0,True,17,122,470,627,125,619,380,0,0,,,,0,,,10.0,12,10,0.0282,0.0039,0.0003,0.0024,0.0,0.0,,0.0562,0.0911
hiking-opt14-strips-ptesting-2-3-5,0,True,22,234,842,1122,183,1054,826,0,0,,,,0,,,13.0,16,13,0.0166,0.0086,0.0005,0.0022,0.0,0.0,,0.0319,0.0601
hiking-opt14-strips-ptesting-2-3-6,0,True,27,202,782,1041,222,1031,424,0,0,,,,0,,,16.0,20,16,0.032,0.0203,0.0009,0.0039,0.0,0.0,,0.027,0.0845
hiking-opt14-strips-ptesting-2-3-7,0,True,32,242,938,1248,291,1252,913,0,0,,,,0,,,19.0,24,19,0.0281,0.0266,0.0014,0.0035,0.0,0.0,,0.0383,0.0983
hiking-opt14-strips-ptesting-2-4-3,0,True,14,106,410,542,71,502,115,0,0,,,,0,,,7.0,8,7,0.0193,0.0023,0.0002,0.0029,0.0,0.0,,0.0153,0.04
hiking-opt14-strips-ptesting-2-4-4,0,True,20,158,614,810,129,769,484,0,0,,,,0,,,10.0,12,10,0.016,0.0056,0.0004,0.0037,0.0,0.0,,0.024,0.0498
hiking-opt14-strips-ptesting-2-4-5,0,True,26,210,818,1078,190,1030,695,0,0,,,,0,,,13.0,16,13,0.0204,0.0121,0.0007,0.0023,0.0,0.0,,0.0338,0.0696
hiking-opt14-strips-ptesting-2-4-6,0,True,32,382,1382,1826,304,1666,1476,0,0,,,,0,,,16.0,20,16,0.0298,0.0245,0.001,0.0034,0.0,0.0,,0.056,0.115
hiking-opt14-strips-ptesting-2-4-7,0,True,38,314,1226,1614,238,1534,437,0,0,,,,0,,,19.0,24,19,0.0371,0.0568,0.0019,0.0028,0.0,0.0,,0.0445,0.1437
